idTrenICHR,id
QCTIR-10,344
QCTIR 10,345
ILZPN04,346
GVMQ 04,347
XDGDMX 21,348
ILZPN3-18,349
APL-20,350
TMI 20,351
TMXTEO 20,352
IVM-20,353
GVM 19,354
FXXMZ 02,355
2MLRMX30,356
TMXTEV 03,357
TMXTEO 06,358
LESMX07,359
DPM 15,360
TMTQ 15,361
IVM-09,362
MLRMX07,363
IVM 20,364
AOM 10,365
ILZPN2-05,366
ILZPN205,367
MLRMX04,368
DIRMX  21,369
TMA 22,370
LMXXI20,371
ILZPN217,372
TMA 15,373
DCM 13,374
GVM 14,375
TMXTEO 02,376
DCM 20,377
LMXXI09,378
ILZPN-04,379
AVM 03,380
FMZXX-02,381
2IVM-20,382
2GVM 10,383
ILZPN2-17,384
OJM 19,385
TMEQ 15,386
MLRMX13,387
IVM 09,388
QCTIR-04,389
QCTIR 04,390
MLRMX09,391
TMXHUI-02,392
QCTIR 01,393
OPMQ 06,394
OPMQ 22,395
TMTQ-08,396
AOM 20,397
2IVM 20,398
TMXTEO-09,399
TMI-09,400
TMXTEO 09,401
LMXDX19,402
IVM 19,403
MMYMX04,404
TMEQ 08,405
ILZPN-07,406
QCTIR 07,407
QCTIR 18,408
TMXTE  19,409
LESMX02,410
ILZPN-14,411
QCTIR 22,412
ILZPN07,413
MMYMX07,414
TMXHUI-09,415
MVCMX-19,416
AHM 19,417
LESMX19,418
LESMX21,419
FAZXX-20,420
MMYMX21,421
TMI 03,422
TMA 11,423
2MLRMX21,424
LMXDX15,425
AIRVC  09,426
IVM-22,427
MLRMX20,428
MMYMX02,429
IMZMX  06,430
LESMX06,431
ILZPN2-10,432
TPJM-11,433
ILZPN17,434
MLRMX06,435
MMYMX24,436
OPJM-25,437
LESMX26,438
APL 26,439
IMZMX-20,440
IMZMX 20,441
IMZMX  03,442
AIRVC  05,443
QCTIR-14,444
IVM 22,445
MVCMX-22,446
DIRMX-23,447
DCM 22,448
ILZPN218,449
MMYMX18,450
TMI 26,451
MLRMX24,452
LESMX22,453
IMIMX  30,454
LESMX20,455
RTOMX  19,456
QCTIR 26,457
MMYMX-27,458
MMYMX27,459
MVCMX05,460
2MMYMX05,461
TMXTEV-22,462
LMXXI25,463
IVM-15,464
MMYMX14,465
ILZPN31,466
TMTQ 04,467
TMXTEO-28,468
2TMI-22,469
IVM-02,470
DTM 29,471
DIRMX  29,472
QCTIR 14,473
TMXTEV 15,474
GJVMXI09,475
GSFMX-22,476
TMTQ-24,477
TMTQ 24,478
DIRMX  23,479
AVM 30,480
RTOMX  05,481
IVM-28,482
TMT 30,483
RTOMX  28,484
QCTIR 21,485
IVM 15,486
GSLMX-26,487
APL 30,488
FXXMZ-31,489
FXXMZ 31,490
LESMX29,491
DPMQ 24,492
FAZXX-28,493
TMXTEV 31,494
DOM 15,495
RTOMX  21,496
DPMQ 19,497
TMXTE 25,498
AHM 24,499
IMIMX  17,500
DIRMX-26,501
MLRMX27,502
AVM 23,503
TMEQ 31,504
XDIRMX 27,505
2IVM-28,506
AVM-28,507
IVM 28,508
GKCMXI20,509
2TMI 19,510
AVM-25,511
APL 23,512
QCTIR-23,513
TMI-31,514
LESMX-31,515
DCM 14,516
AVM 22,517
GSFMX  22,518
IMZMX  18,519
LESMX31,520
IGDMX  06,521
AHM 21,522
XDGDMX 25,523
APL 31,524
TMT-01,525
DIRMX-31,526
AHM-28,527
2GVM 29,528
IMZMX  29,529
IMNMX-24,530
IMZMX-22,531
IMNMX  24,532
DCM 18,533
2GVM 02,534
TMXHU  20,535
TMT-21,536
RTOMX  25,537
TMEQ 02,538
IVM-24,539
QCTIR 23,540
DIRMX  31,541
MVCMX-02,542
TMTQ 23,543
QCTIR 29,544
DIRMX-20,545
MLRMX-22,546
2GVM 23,547
MVCMX-29,548
MVCMX-31,549
FEGXX  01,550
RTOMX  18,551
TMI-25,552
AVM 25,553
VSLMX-03,554
DOM 29,555
IMZMX  26,556
IMZMX  22,557
OPM 23,558
TMXTEO 03,559
2TMI 01,560
MMYMX-31,561
QCTIR-31,562
IMZMX-29,563
MVCMX26,564
OPJM-27,565
IMZMX-26,566
QCTIR 24,567
VSLMX03,568
DTM 02,569
TMEQ 24,570
IVM 24,571
MVCMX-24,572
3GVM 29,573
MLRMX19,574
IMIMX  15,575
DJZMX-24,576
MMYMX-22,577
TMI 23,578
MMYMX22,579
DPM 23,580
IMIMX  26,581
LMXDX02,582
2IVM 28,583
AVM 28,584
AIRVC  02,585
DOM 25,586
DPNMX  23,587
OPJM-23,588
TMXTEO 23,589
MLRMX22,590
TMXHUI  34,591
DTM 03,592
MMYMX-01,593
MMYMX31,594
AIRVC-21,595
DIRMX  20,596
LMXXI27,597
OPM 27,598
GVM 23,599
MLRMX18,600
RTOMX  27,601
QCTIR 20,602
OPJM-30,603
MMYMX29,604
TMI 27,605
TMEQ-04,606
GVM 25,607
SRS-138,608
LMXXI23,609
GVM 31,610
IMZMX  19,611
AVM 19,612
TMXTEV 24,613
LMXDX21,614
MMYMX01,615
LESMX23,616
APL 25,617
DPM 25,618
LMXDX24,619
FXXMZ-27,620
MMYMX26,621
OPMQ 02,622
VESMX23,623
IVM-21,624
LESMX27,625
DCM 25,626
LMXXI30,627
DPMQ 04,628
LESMX28,629
TMXTEO  21,630
GGDMX  01,631
OPJM-01,632
MLRMX21,633
TMT-20,634
MLRMX01,635
LMXDX04,636
IVM 21,637
DCM 30,638
TIM 24,639
DIRMX-19,640
TMXTEO 30,641
DOM 28,642
GJZCX  26,643
APL 27,644
AIRVC  27,645
DOM 27,646
MLRMX23,647
TMXHUI 25,648
LESMX24,649
TMXHUI 23,650
TMI 30,651
ILZPN-24,652
ILZPN24,653
FMZXX-28,654
AIRVC 30,655
TMXHUI 30,656
LMXXI01,657
MMYMX20,658
DIRMX  19,659
IMZMX  27,660
IMIMX  20,661
OPM-04,662
IVM-01,663
MLRMX-30,664
LESMX-01,665
DVM 21,666
DIRMX-27,667
APL 20,668
MMYMX 19,669
2GNLMX22,670
IVM 30,671
MLRMX28,672
OPM 20,673
ILZPN26,674
DIRMX  27,675
2DTM 03,676
MMYMX23,677
RTOMX  23,678
IMIMX  01,679
TMTQ-26,680
TMTQ 26,681
QCTIR-25,682
RTOMX  20,683
2MVCMX-26,684
LESMX01,685
QCTIR-19,686
APL-05,687
AIRVC  24,688
CUPNTL 30,689
DIRMX-04,690
TPJM-20,691
LESMX25,692
TMA 26,693
LESMX30,694
AHM 29,695
TMXHUI 27,696
2MVCMX26,697
DIRMX 04,698
MLRMX25,699
DPM 21,700
DCM 06,701
APL 07,702
AVM 24,703
MMYMX-03,704
RTOMX  29,705
TMTQ-05,706
OPM 05,707
QCTIR-07,708
QCTIR 25,709
LMXDX28,710
2TMI-06,711
2MLRMX02,712
ICGMX  01,713
FCGXX  24,714
GVM 30,715
TMXHUI 01,716
XRTOMX 31,717
MMYMX03,718
QCTIR-26,719
