dia,mes,Dia_semana,año,trainsxday
22,1,2,2018,31
22,2,5,2018,32
22,3,5,2018,32
22,4,1,2018,41
22,5,3,2018,22
22,6,6,2018,33
22,7,1,2018,27
22,8,4,2018,29
22,9,7,2018,36
22,10,2,2018,23
22,11,5,2018,38
22,12,7,2018,33
23,1,3,2018,25
23,2,6,2018,29
23,3,6,2018,33
23,4,2,2018,32
23,5,4,2018,28
23,6,7,2018,35
23,7,2,2018,35
23,8,5,2018,31
23,9,1,2018,22
23,10,3,2018,25
23,11,6,2018,35
23,12,1,2018,35
24,1,4,2018,31
24,2,7,2018,43
24,3,7,2018,20
24,4,3,2018,31
24,5,5,2018,24
24,6,1,2018,36
24,7,3,2018,31
24,8,6,2018,43
24,9,2,2018,26
24,10,4,2018,23
24,11,7,2018,30
24,12,2,2018,25
25,1,5,2018,32
25,2,1,2018,29
25,3,1,2018,37
25,4,4,2018,29
25,5,6,2018,38
25,6,2,2018,30
25,7,4,2018,34
25,8,7,2018,23
25,9,3,2018,38
25,10,5,2018,24
25,11,1,2018,34
25,12,3,2018,4
26,1,6,2018,34
26,2,2,2018,34
26,3,2,2018,28
26,4,5,2018,36
26,5,7,2018,32
26,6,3,2018,36
26,7,5,2018,33
26,8,1,2018,31
26,9,4,2018,30
26,10,6,2018,38
26,11,2,2018,37
26,12,4,2018,27
27,1,7,2018,24
27,2,3,2018,36
27,3,3,2018,25
27,4,6,2018,36
27,5,1,2018,30
27,6,4,2018,33
27,7,6,2018,26
27,8,2,2018,39
27,9,5,2018,37
27,10,7,2018,27
27,11,3,2018,25
27,12,5,2018,29
28,1,1,2018,27
28,2,4,2018,33
28,3,4,2018,25
28,4,7,2018,42
28,5,2,2018,37
28,6,5,2018,39
28,7,7,2018,31
28,8,3,2018,29
28,9,6,2018,42
28,10,1,2018,55
28,11,4,2018,35
28,12,6,2018,23
29,1,2,2018,33
29,3,5,2018,28
29,4,1,2018,35
29,5,3,2018,26
29,6,6,2018,31
29,7,1,2018,39
29,8,4,2018,27
29,9,7,2018,30
29,10,2,2018,26
29,11,5,2018,36
29,12,7,2018,44
30,1,3,2018,35
30,3,6,2018,33
30,4,2,2018,27
30,5,4,2018,28
30,6,7,2018,28
30,7,2,2018,25
30,8,5,2018,31
30,9,1,2018,24
30,10,3,2018,22
30,11,6,2018,35
30,12,1,2018,28
31,1,4,2018,35
31,3,7,2018,26
31,5,5,2018,36
31,7,3,2018,31
31,8,6,2018,30
31,10,4,2018,33
31,12,2,2018,23
